Body,sodium,calories,fat,cholesterol,carbs,protein
1,666.8465473145781,363.9667519181586,21.00434782608698,78.25831202046035,6.079283887468031,16.8010230179028
2,659.2203947368421,353.20723684210526,20.992927631578933,81.96710526315789,5.848684210526316,18.6722039473684
3,725.4958677685951,386.67045454545456,23.34907024793384,88.13842975206612,6.099173553719008,19.90382231404962
4,841.245508982036,419.79640718562877,24.96047904191617,91.55089820359281,6.721556886227545,22.426646706586812
5,822.75,406.3429203539823,24.951991150442513,88.82522123893806,6.446902654867257,22.838274336283163
