category,Body,Tannin,Acid,ABV,Dryness,Fruit
Dessert Wine,1.4680851063829787,0.0,4.23404255319149,1.7446808510638299,2.9148936170212765,2.9148936170212765
Red Wine,4.142857142857143,2.8823529411764706,3.436974789915966,3.7254901960784315,1.6909430438842203,3.8179271708683475
Rosé,5.0,3.0,3.0,4.0,2.0,5.0
Sparkling Wine,2.923076923076923,0.11538461538461539,3.230769230769231,3.8076923076923075,2.0384615384615383,4.6923076923076925
White Wine,2.189054726368159,0.010572139303482588,3.9950248756218905,2.9620646766169156,2.317786069651741,3.235074626865672
