Color,Body,Tannin,Acid,ABV,Dryness,Fruit
Red,4.147358665430954,2.8822984244670993,3.433734939759036,3.7284522706209455,1.690454124189064,3.822984244670992
White,2.1696535244922344,0.0,3.994026284348865,2.9360812425328553,2.3333333333333335,3.2437275985663083
