Fruit,sodium,calories,fat,cholesterol,carbs,protein
2,708.2962962962963,370.2681992337165,21.942401021711365,84.02554278416348,5.997445721583652,19.473818646232424
3,682.6122209165687,379.89659224441834,22.34371327849588,85.06580493537015,6.163337250293772,18.668625146886015
4,799.9119496855346,409.0691823899371,24.65157232704401,91.9622641509434,6.949685534591195,22.61132075471698
5,785.4135416666667,392.690625,24.039999999999967,87.16145833333333,6.197916666666667,21.116666666666696
